詞語,第二層級,第三層級
上學,一上單元一,上學歌
太陽,一上單元一,上學歌
小朋友,一上單元一,上學歌
為甚麼,一上單元一,上學歌
書包,一上單元一,上學歌
學校,一上單元一,上學歌
老師,一上單元一,上學歌
同學,一上單元一,上學歌
外婆,一上單元一,小書包
身上,一上單元一,小書包
神氣,一上單元一,小書包
書本,一上單元一,小書包
整齊,一上單元一,小書包
漂亮,一上單元一,小書包
文具,一上單元一,小書包
作用,一上單元一,小書包
天天,一上單元一,小書包
早操,一上單元一,早操
樹葉,一上單元一,早操
樹枝,一上單元一,早操
蜜蜂,一上單元一,早操
花朵,一上單元一,早操
陽光,一上單元一,早操
奶奶,一上單元一,奶奶笑了
放學,一上單元一,奶奶笑了
看見,一上單元一,奶奶笑了
生病,一上單元一,奶奶笑了
照顧,一上單元一,奶奶笑了
開水,一上單元一,奶奶笑了
蘋果,一上單元一,奶奶笑了
故事,一上單元一,奶奶笑了
高興,一上單元一,奶奶笑了
有時候,一上單元一,大還是小
覺得,一上單元一,大還是小
自己,一上單元一,大還是小
衣服,一上單元一,大還是小
鞋帶,一上單元一,大還是小
門鈴,一上單元一,大還是小
聽到,一上單元一,大還是小
雷聲,一上單元一,大還是小
希望,一上單元一,大還是小
長大,一上單元一,大還是小
市場,一上單元二,菜市場
今天,一上單元二,菜市場
跟着,一上單元二,菜市場
黃色,一上單元二,菜市場
香蕉,一上單元二,菜市場
白菜,一上單元二,菜市場
新鮮,一上單元二,菜市場
番茄,一上單元二,菜市場
營養,一上單元二,菜市場
回家,一上單元二,菜市場
下雨,一上單元二,把太陽送給媽媽
沒有,一上單元二,把太陽送給媽媽
眼睛,一上單元二,把太陽送給媽媽
着急,一上單元二,把太陽送給媽媽
許多,一上單元二,把太陽送給媽媽
那裏,一上單元二,把太陽送給媽媽
擋雨,一上單元二,把太陽送給媽媽
抬頭,一上單元二,把太陽送給媽媽
回來,一上單元二,把太陽送給媽媽
金色,一上單元二,把太陽送給媽媽
一直,一上單元二,把太陽送給媽媽
膽小,一上單元二,膽小的爸爸
這樣,一上單元二,膽小的爸爸
回答,一上單元二,膽小的爸爸
每次,一上單元二,膽小的爸爸
馬路,一上單元二,膽小的爸爸
總是,一上單元二,膽小的爸爸
緊緊,一上單元二,膽小的爸爸
抓住,一上單元二,膽小的爸爸
穿過,一上單元二,膽小的爸爸
放開,一上單元二,膽小的爸爸
沙灘,一上單元二,沙灘上的腳印
腳印,一上單元二,沙灘上的腳印
海浪,一上單元二,沙灘上的腳印
歡快,一上單元二,沙灘上的腳印
調皮,一上單元二,沙灘上的腳印
打掃,一上單元二,打掃房子
房子,一上單元二,打掃房子
新年,一上單元二,打掃房子
我們,一上單元二,打掃房子
一起,一上單元二,打掃房子
窗戶,一上單元二,打掃房子
桌子,一上單元二,打掃房子
地板,一上單元二,打掃房子
收拾,一上單元二,打掃房子
乾乾淨淨,一上單元二,打掃房子
弟弟,一上單元二,打掃房子
現在,一上單元二,打掃房子
明亮,一上單元二,打掃房子
雨傘,一下單元一,小雨傘
草地,一下單元一,小雨傘
蝴蝶,一下單元一,小雨傘
池塘,一下單元一,小雨傘
荷葉,一下單元一,小雨傘
青蛙,一下單元一,小雨傘
樹林,一下單元一,小雨傘
蘑菇,一下單元一,小雨傘
螞蟻,一下單元一,小雨傘
大家,一下單元一,小雨傘
數不清,一下單元一,雨點兒
哪裏,一下單元一,雨點兒
回答,一下單元一,雨點兒
地方,一下單元一,雨點兒
不久,一下單元一,雨點兒
搖籃,一下單元一,荷葉圓圓
亮晶晶,一下單元一,荷葉圓圓
蜻蜓,一下單元一,荷葉圓圓
展開,一下單元一,荷葉圓圓
翅膀,一下單元一,荷葉圓圓
青蛙,一下單元一,荷葉圓圓
舞台,一下單元一,荷葉圓圓
歌唱,一下單元一,荷葉圓圓
涼帽,一下單元一,荷葉圓圓
笑嘻嘻,一下單元一,荷葉圓圓
綠油油,一下單元一,荷葉圓圓
臉蛋,一下單元一,荷葉圓圓
柳樹,一下單元一,春天
說話,一下單元一,春天
洗澡,一下單元一,春天
春風,一下單元一,春天
梳頭,一下單元一,春天
捉迷藏,一下單元一,春天
旅遊,一下單元一,春天
泥土,一下單元一,春天
種子,一下單元一,春天
白雲,一下單元一,白雲
孩子,一下單元一,白雲
學習,一下單元一,白雲
常常,一下單元一,白雲
模仿,一下單元一,白雲
飛跑,一下單元一,白雲
山腰,一下單元一,白雲
追逐,一下單元一,白雲
玩耍,一下單元一,白雲
一會兒,一下單元一,白雲
魔術師,一下單元一,白雲
天空,一下單元一,白雲
千變萬化,一下單元一,白雲
畫家,一下單元二,雪地裏的小畫家
下雪,一下單元二,雪地裏的小畫家
小雞,一下單元二,雪地裏的小畫家
竹葉,一下單元二,雪地裏的小畫家
小狗,一下單元二,雪地裏的小畫家
梅花,一下單元二,雪地裏的小畫家
小鴨,一下單元二,雪地裏的小畫家
楓葉,一下單元二,雪地裏的小畫家
小馬,一下單元二,雪地裏的小畫家
月牙,一下單元二,雪地裏的小畫家
顔料,一下單元二,雪地裏的小畫家
參加,一下單元二,雪地裏的小畫家
睡着,一下單元二,雪地裏的小畫家
海豚,一下單元二,美麗的中華白海豚
可愛,一下單元二,美麗的中華白海豚
娃娃,一下單元二,美麗的中華白海豚
波浪,一下單元二,美麗的中華白海豚
小船,一下單元二,美麗的中華白海豚
好像,一下單元二,美麗的中華白海豚
妹妹,一下單元二,美麗的中華白海豚
游泳,一下單元二,美麗的中華白海豚
運動,一下單元二,美麗的中華白海豚
美麗,一下單元二,美麗的中華白海豚
彩虹,一下單元二,美麗的中華白海豚
珍奇,一下單元二,大熊貓
動物,一下單元二,大熊貓
可愛,一下單元二,大熊貓
胖乎乎,一下單元二,大熊貓
毛茸茸,一下單元二,大熊貓
黑眼圈,一下單元二,大熊貓
活潑,一下單元二,大熊貓
活動,一下單元二,大熊貓
喜歡,一下單元二,大熊貓
新鮮,一下單元二,大熊貓
夏天,一下單元二,南極的主人
一搖一擺,一下單元二,南極的主人
十足,一下單元二,南極的主人
靠近,一下單元二,南極的主人
怎麼辦,一下單元二,南極的主人
東張西望,一下單元二,南極的主人
交頭接耳,一下單元二,南極的主人
成群結隊,一下單元二,南極的主人
生氣,一下單元二,南極的主人
主人,一下單元二,南極的主人
東西,一下單元二,南極的主人
壁虎,一下單元二,小壁虎借尾巴
尾巴,一下單元二,小壁虎借尾巴
蚊子,一下單元二,小壁虎借尾巴
咬住,一下單元二,小壁虎借尾巴
逃走,一下單元二,小壁虎借尾巴
難看,一下單元二,小壁虎借尾巴
不行,一下單元二,小壁虎借尾巴
河邊,一下單元二,小壁虎借尾巴
燕子,一下單元二,小壁虎借尾巴
阿姨,一下單元二,小壁虎借尾巴
掌握,一下單元二,小壁虎借尾巴
方向,一下單元二,小壁虎借尾巴
難過,一下單元二,小壁虎借尾巴
告訴,一下單元二,小壁虎借尾巴
轉身,一下單元二,小壁虎借尾巴
高興,一下單元二,小壁虎借尾巴
鉛筆,二上單元一,文具的家
橡皮擦,二上單元一,文具的家
當然,二上單元一,文具的家
所以,二上單元一,文具的家
每天,二上單元一,文具的家
趕緊,二上單元一,文具的家
怎麼,二上單元一,文具的家
平安,二上單元一,文具的家
文具盒,二上單元一,文具的家
從此,二上單元一,文具的家
仔細,二上單元一,文具的家
檢查,二上單元一,文具的家
尺子,二上單元一,文具的家
所有,二上單元一,文具的家
助手,二上單元一,文具的家
已經,二上單元一,文具的家
鬧鐘,二上單元一,一分鐘
哈欠,二上單元一,一分鐘
心想,二上單元一,一分鐘
遲到,二上單元一,一分鐘
起來,二上單元一,一分鐘
過去,二上單元一,一分鐘
公共汽車,二上單元一,一分鐘
影子,二上單元一,一分鐘
決定,二上單元一,一分鐘
上課,二上單元一,一分鐘
座位,二上單元一,一分鐘
手錶,二上單元一,一分鐘
非常,二上單元一,一分鐘
後悔,二上單元一,一分鐘
得意,二上單元一,玲玲的畫
端詳,二上單元一,玲玲的畫
評獎,二上單元一,玲玲的畫
時間,二上單元一,玲玲的畫
收拾,二上單元一,玲玲的畫
傷心,二上單元一,玲玲的畫
報紙,二上單元一,玲玲的畫
來不及,二上單元一,玲玲的畫
懶洋洋,二上單元一,玲玲的畫
滿意,二上單元一,玲玲的畫
想像,二上單元一,玲玲的畫
動腦筋,二上單元一,玲玲的畫
變成,二上單元一,玲玲的畫
背後,二上單元一,小心眼
說話,二上單元一,小心眼
神祕,二上單元一,小心眼
難受,二上單元一,小心眼
走廊,二上單元一,小心眼
設計,二上單元一,小心眼
生日卡,二上單元一,小心眼
小心眼,二上單元一,小心眼
錯怪,二上單元一,小心眼
感動,二上單元一,小心眼
接過,二上單元一,小心眼
謝謝,二上單元一,小心眼
禮物,二上單元一,小心眼
負責,二上單元一,買食物
主動,二上單元一,買食物
要求,二上單元一,買食物
反反覆覆,二上單元一,買食物
汽水,二上單元一,買食物
勇氣,二上單元一,買食物
結結巴巴,二上單元一,買食物
終於,二上單元一,買食物
快步,二上單元一,買食物
慌忙,二上單元一,買食物
轉身,二上單元一,買食物
悄悄,二上單元一,買食物
剛才,二上單元一,買食物
表現,二上單元一,買食物
經歷,二上單元一,買食物
緊張,二上單元一,買食物
露珠,二上單元二,露珠
早晨,二上單元二,露珠
花園,二上單元二,露珠
閃閃發光,二上單元二,露珠
珍珠,二上單元二,露珠
晶亮,二上單元二,露珠
怎麼,二上單元二,露珠
綠油油,二上單元二,露珠
葉子,二上單元二,露珠
紅豔豔,二上單元二,露珠
花瓣,二上單元二,露珠
帆船,二上單元二,風在哪兒
行駛,二上單元二,風在哪兒
舞蹈,二上單元二,風在哪兒
搖晃,二上單元二,風在哪兒
風鈴,二上單元二,風在哪兒
好聽,二上單元二,風在哪兒
翻開,二上單元二,風在哪兒
揮動,二上單元二,風在哪兒
扇子,二上單元二,風在哪兒
大地,二上單元二,在海裏
多姿多彩,二上單元二,在海裏
花草樹木,二上單元二,在海裏
海洋,二上單元二,在海裏
植物,二上單元二,在海裏
千姿百態,二上單元二,在海裏
獅子,二上單元二,在海裏
大象,二上單元二,在海裏
飛快,二上單元二,在海裏
不過,二上單元二,在海裏
搖擺,二上單元二,在海裏
草原,二上單元二,在海裏
金黃,二上單元二,在海裏
笑臉,二上單元二,在海裏
賀卡,二上單元二,多彩的賀卡
森林,二上單元二,多彩的賀卡
祝願,二上單元二,多彩的賀卡
樹苗,二上單元二,多彩的賀卡
茁壯成長,二上單元二,多彩的賀卡
歡樂,二上單元二,多彩的賀卡
藍天,二上單元二,多彩的賀卡
呼喚,二上單元二,多彩的賀卡
飛翔,二上單元二,多彩的賀卡
白鴿,二上單元二,多彩的賀卡
貝殻,二上單元二,多彩的賀卡
風帆,二上單元二,多彩的賀卡
祕密,二上單元二,多彩的賀卡
探索,二上單元二,多彩的賀卡
珍惜,二上單元二,多彩的賀卡
創造,二上單元二,多彩的賀卡
未來,二上單元二,多彩的賀卡
田野,二上單元二,找春天
尋找,二上單元二,找春天
害羞,二上單元二,找春天
姑娘,二上單元二,找春天
躲躲藏藏,二上單元二,找春天
眉毛,二上單元二,找春天
嫩芽,二上單元二,找春天
音符,二上單元二,找春天
解凍,二上單元二,找春天
琴聲,二上單元二,找春天
盪秋千,二上單元二,找春天
風箏,二上單元二,找春天
枝頭,二上單元二,找春天
烏鴉,二下單元一,狐狸和烏鴉
食物,二下單元一,狐狸和烏鴉
不禁,二下單元一,狐狸和烏鴉
孩子,二下單元一,狐狸和烏鴉
辛辛苦苦,二下單元一,狐狸和烏鴉
口水直流,二下單元一,狐狸和烏鴉
主意,二下單元一,狐狸和烏鴉
美妙,二下單元一,狐狸和烏鴉
得意,二下單元一,狐狸和烏鴉
急忙,二下單元一,狐狸和烏鴉
已經,二下單元一,狐狸和烏鴉
冬天,二下單元一,騾子和冰
特別,二下單元一,騾子和冰
寒冷,二下單元一,騾子和冰
幸福,二下單元一,騾子和冰
遠道而來,二下單元一,騾子和冰
張望,二下單元一,騾子和冰
摔倒,二下單元一,騾子和冰
禮貌,二下單元一,騾子和冰
粗魯,二下單元一,騾子和冰
身體,二下單元一,騾子和冰
温度,二下單元一,騾子和冰
融化,二下單元一,騾子和冰
冰冷,二下單元一,騾子和冰
應該,二下單元一,騾子和冰
聽從,二下單元一,騾子和冰
勸告,二下單元一,騾子和冰
破裂,二下單元一,騾子和冰
寂寞,二下單元一,蜘蛛開店
無聊,二下單元一,蜘蛛開店
決定,二下單元一,蜘蛛開店
商店,二下單元一,蜘蛛開店
簡單,二下單元一,蜘蛛開店
招牌,二下單元一,蜘蛛開店
顧客,二下單元一,蜘蛛開店
工夫,二下單元一,蜘蛛開店
終於,二下單元一,蜘蛛開店
圍巾,二下單元一,蜘蛛開店
匆忙,二下單元一,蜘蛛開店
原來,二下單元一,蜘蛛開店
連蹦帶跳,二下單元一,小馬過河
願意,二下單元一,小馬過河
四周,二下單元一,小馬過河
吃驚,二下單元一,小馬過河
夥伴,二下單元一,小馬過河
認真,二下單元一,小馬過河
知道,二下單元一,小馬過河
到底,二下單元一,小馬過河
親切,二下單元一,小馬過河
小心,二下單元一,小馬過河
連忙,二下單元一,小馬過河
動物,二下單元一,動物王國開大會
王國,二下單元一,動物王國開大會
老虎,二下單元一,動物王國開大會
狗熊,二下單元一,動物王國開大會
通知,二下單元一,動物王國開大會
喇叭,二下單元一,動物王國開大會
注意,二下單元一,動物王國開大會
道理,二下單元一,動物王國開大會
腦袋,二下單元一,動物王國開大會
廣場,二下單元一,動物王國開大會
準時,二下單元一,動物王國開大會
明白,二下單元一,動物王國開大會
因為,二下單元一,動物王國開大會
地點,二下單元一,動物王國開大會
夜景,二下單元二,東方之珠
拍照,二下單元二,東方之珠
錄像,二下單元二,東方之珠
興奮,二下單元二,東方之珠
高樓大廈,二下單元二,東方之珠
兩岸,二下單元二,東方之珠
路燈,二下單元二,東方之珠
柔和,二下單元二,東方之珠
五顏六色,二下單元二,東方之珠
欣賞,二下單元二,東方之珠
衣裳,二下單元二,東方之珠
不斷,二下單元二,東方之珠
目的地,二下單元二,遊海洋公園
乘搭,二下單元二,遊海洋公園
探望,二下單元二,遊海洋公園
肚子,二下單元二,遊海洋公園
動聽,二下單元二,遊海洋公園
午飯,二下單元二,遊海洋公園
表演,二下單元二,遊海洋公園
配合,二下單元二,遊海洋公園
列車,二下單元二,遊海洋公園
各種,二下單元二,遊海洋公園
訓練,二下單元二,遊海洋公園
觀賞,二下單元二,遊海洋公園
遊戲,二下單元二,遊海洋公園
哈哈大笑,二下單元二,遊海洋公園
依依不捨,二下單元二,遊海洋公園
總是,二下單元二,香噴噴的夢
下班,二下單元二,香噴噴的夢
西裝,二下單元二,香噴噴的夢
圍裙,二下單元二,香噴噴的夢
廚房,二下單元二,香噴噴的夢
專心,二下單元二,香噴噴的夢
形狀,二下單元二,香噴噴的夢
雞蛋,二下單元二,香噴噴的夢
回來,二下單元二,香噴噴的夢
晚餐,二下單元二,香噴噴的夢
餃子,二下單元二,歡歡喜喜包餃子
情景,二下單元二,歡歡喜喜包餃子
吸引,二下單元二,歡歡喜喜包餃子
趕緊,二下單元二,歡歡喜喜包餃子
隊伍,二下單元二,歡歡喜喜包餃子
發現,二下單元二,歡歡喜喜包餃子
口袋,二下單元二,歡歡喜喜包餃子
難看,二下單元二,歡歡喜喜包餃子
學問,二下單元二,歡歡喜喜包餃子
熱騰騰,二下單元二,歡歡喜喜包餃子
爺爺,二下單元二,歡歡喜喜包餃子
津津有味,二下單元二,歡歡喜喜包餃子
滿足,二下單元二,歡歡喜喜包餃子
笑容,二下單元二,歡歡喜喜包餃子
幫忙,二下單元二,歡歡喜喜包餃子
小心翼翼,二下單元二,歡歡喜喜包餃子
隊伍,二下單元二,歡歡喜喜包餃子
竟然,二下單元二,歡歡喜喜包餃子
放假,二下單元二,美味的粽子
祖母,二下單元二,美味的粽子
粽子,二下單元二,美味的粽子
首先,二下單元二,美味的粽子
示範,二下單元二,美味的粽子
然後,二下單元二,美味的粽子
接着,二下單元二,美味的粽子
最後,二下單元二,美味的粽子
完成,二下單元二,美味的粽子
講述,二下單元二,美味的粽子
節日,二下單元二,美味的粽子
食品,二下單元二,美味的粽子
香噴噴,二下單元二,美味的粽子
熱呼呼,二下單元二,美味的粽子
美味,二下單元二,美味的粽子
綠豆,二下單元二,美味的粽子
放假,三上單元一,慧娟怎樣長大
起牀,三上單元一,慧娟怎樣長大
高跟鞋,三上單元一,慧娟怎樣長大
眼鏡,三上單元一,慧娟怎樣長大
項鏈,三上單元一,慧娟怎樣長大
胡鬧,三上單元一,慧娟怎樣長大
不算,三上單元一,慧娟怎樣長大
辦法,三上單元一,慧娟怎樣長大
掃帚,三上單元一,慧娟怎樣長大
客廳,三上單元一,慧娟怎樣長大
灰塵,三上單元一,慧娟怎樣長大
驚喜,三上單元一,慧娟怎樣長大
全部,三上單元一,慧娟怎樣長大
診所,三上單元一,拔牙
醫生,三上單元一,拔牙
驚慌,三上單元一,拔牙
好奇,三上單元一,拔牙
温柔,三上單元一,拔牙
安慰,三上單元一,拔牙
仍然,三上單元一,拔牙
驅除,三上單元一,拔牙
恐慌,三上單元一,拔牙
注射,三上單元一,拔牙
耐心,三上單元一,拔牙
稱讚,三上單元一,拔牙
勇敢,三上單元一,拔牙
並且,三上單元一,拔牙
保護,三上單元一,拔牙
輕鬆,三上單元一,拔牙
鮮豔,三上單元一,一束鮮艷的花
愛惜,三上單元一,一束鮮艷的花
捨不得,三上單元一,一束鮮艷的花
比賽,三上單元一,一束鮮艷的花
建議,三上單元一,一束鮮艷的花
表達,三上單元一,一束鮮艷的花
盛開,三上單元一,一束鮮艷的花
求助,三上單元一,一束鮮艷的花
不好意思,三上單元一,一束鮮艷的花
胡亂,三上單元一,一束鮮艷的花
七嘴八舌,三上單元一,一束鮮艷的花
肯定,三上單元一,一束鮮艷的花
冠軍,三上單元一,一束鮮艷的花
不安,三上單元一,一束鮮艷的花
行為,三上單元一,一束鮮艷的花
自私,三上單元一,一束鮮艷的花
於是,三上單元一,一束鮮艷的花
重新,三上單元一,一束鮮艷的花
電視劇,三上單元一,上默書課
精彩,三上單元一,上默書課
温習,三上單元一,上默書課
改期,三上單元一,上默書課
唸唸有詞,三上單元一,上默書課
記憶,三上單元一,上默書課
內容,三上單元一,上默書課
因為,三上單元一,上默書課
請假,三上單元一,上默書課
代課,三上單元一,上默書課
宣佈,三上單元一,上默書課
立即,三上單元一,上默書課
瘦弱,三上單元一,上默書課
一聲不響,三上單元一,上默書課
通紅,三上單元一,上默書課
相信,三上單元一,上默書課
清澈,三上單元一,清澈的湖水
兩側,三上單元一,清澈的湖水
波紋,三上單元一,清澈的湖水
麵包,三上單元一,清澈的湖水
展翅欲飛,三上單元一,清澈的湖水
雄鷹,三上單元一,清澈的湖水
賽跑,三上單元一,清澈的湖水
變幻,三上單元一,清澈的湖水
消失,三上單元一,清澈的湖水
皺紋,三上單元一,清澈的湖水
不滿,三上單元一,清澈的湖水
企盼,三上單元一,清澈的湖水
目光,三上單元一,清澈的湖水
跨步,三上單元一,清澈的湖水
穩穩當當,三上單元二,曹沖稱象
柱子,三上單元二,曹沖稱象
議論,三上單元二,曹沖稱象
重量,三上單元二,曹沖稱象
一本正經,三上單元二,曹沖稱象
微笑,三上單元二,曹沖稱象
果然,三上單元二,曹沖稱象
佩服,三上單元二,曹沖稱象
讚歎,三上單元二,曹沖稱象
年紀,三上單元二,曹沖稱象
聰明,三上單元二,曹沖稱象
了不起,三上單元二,曹沖稱象
人山人海,三上單元二,王戎智捉人販子
東張西望,三上單元二,王戎智捉人販子
五彩繽紛,三上單元二,王戎智捉人販子
眼花繚亂,三上單元二,王戎智捉人販子
目不暇給,三上單元二,王戎智捉人販子
僻靜,三上單元二,王戎智捉人販子
反而,三上單元二,王戎智捉人販子
竟然,三上單元二,王戎智捉人販子
提防,三上單元二,王戎智捉人販子
拐賣,三上單元二,王戎智捉人販子
擁擠,三上單元二,王戎智捉人販子
雖然,三上單元二,王戎智捉人販子
帽子,三上單元二,王戎智捉人販子
士兵,三上單元二,王戎智捉人販子
拐騙,三上單元二,王戎智捉人販子
奪門而逃,三上單元二,剃頭大師
怒視,三上單元二,剃頭大師
抗議,三上單元二,剃頭大師
痛苦,三上單元二,剃頭大師
習慣,三上單元二,剃頭大師
吃盡苦頭,三上單元二,剃頭大師
耿耿於懷,三上單元二,剃頭大師
折磨,三上單元二,剃頭大師
央求,三上單元二,剃頭大師
答應,三上單元二,剃頭大師
願意,三上單元二,剃頭大師
隨便,三上單元二,剃頭大師
處置,三上單元二,剃頭大師
發誓,三上單元二,剃頭大師
熟練,三上單元二,剃頭大師
優秀,三上單元二,剃頭大師
顧客,三上單元二,剃頭大師
倒霉,三上單元二,剃頭大師
頓時,三上單元二,遙控車壞了
受傷,三上單元二,遙控車壞了
憤怒,三上單元二,遙控車壞了
哇哇大哭,三上單元二,遙控車壞了
修理,三上單元二,遙控車壞了
糖果,三上單元二,遙控車壞了
煙消雲散,三上單元二,遙控車壞了
心平氣和,三上單元二,遙控車壞了
解決,三上單元二,遙控車壞了
問題,三上單元二,遙控車壞了
提早,三上單元二,我的球迷哥哥
姿勢,三上單元二,我的球迷哥哥
捶胸頓足,三上單元二,我的球迷哥哥
嘮叨,三上單元二,我的球迷哥哥
從此,三上單元二,我的球迷哥哥
不許,三上單元二,我的球迷哥哥
不但,三上單元二,我的球迷哥哥
時機,三上單元二,我的球迷哥哥
靈巧,三上單元二,我的球迷哥哥
迅速,三上單元二,我的球迷哥哥
左穿右插,三上單元二,我的球迷哥哥
周圍,三上單元二,我的球迷哥哥
出色,三上單元二,我的球迷哥哥
爭光,三上單元二,我的球迷哥哥
支持,三上單元二,我的球迷哥哥
名字,三下單元一,我的名字叫做貓
家族,三下單元一,我的名字叫做貓
兇猛,三下單元一,我的名字叫做貓
同類,三下單元一,我的名字叫做貓
或者,三下單元一,我的名字叫做貓
漆黑,三下單元一,我的名字叫做貓
本領,三下單元一,我的名字叫做貓
厲害,三下單元一,我的名字叫做貓
因素,三下單元一,我的名字叫做貓
瞳孔,三下單元一,我的名字叫做貓
強弱,三下單元一,我的名字叫做貓
縮小,三下單元一,我的名字叫做貓
靈敏,三下單元一,我的名字叫做貓
探路,三下單元一,我的名字叫做貓
獵物,三下單元一,我的名字叫做貓
因此,三下單元一,我的名字叫做貓
捕捉,三下單元一,我的名字叫做貓
戰無不勝,三下單元一,我的名字叫做貓
難怪,三下單元一,我的名字叫做貓
造型,三下單元一,綠樹枱燈
茂盛,三下單元一,綠樹枱燈
彷彿,三下單元一,綠樹枱燈
氣息,三下單元一,綠樹枱燈
圖案,三下單元一,綠樹枱燈
主幹,三下單元一,綠樹枱燈
別緻,三下單元一,綠樹枱燈
設計,三下單元一,綠樹枱燈
猶如,三下單元一,綠樹枱燈
獨特,三下單元一,綠樹枱燈
開關,三下單元一,綠樹枱燈
提醒,三下單元一,綠樹枱燈
代表,三下單元一,綠樹枱燈
選擇,三下單元一,綠樹枱燈
方便,三下單元一,綠樹枱燈
實用,三下單元一,綠樹枱燈
樹幹,三下單元一,綠樹枱燈
故鄉,三下單元一,我愛故鄉的楊梅
貪婪,三下單元一,我愛故鄉的楊梅
甘露,三下單元一,我愛故鄉的楊梅
狹長,三下單元一,我愛故鄉的楊梅
楊梅,三下單元一,我愛故鄉的楊梅
桂圓,三下單元一,我愛故鄉的楊梅
舌尖,三下單元一,我愛故鄉的楊梅
細膩,三下單元一,我愛故鄉的楊梅
柔軟,三下單元一,我愛故鄉的楊梅
雖然,三下單元一,我愛故鄉的楊梅
幾乎,三下單元一,我愛故鄉的楊梅
豆腐,三下單元一,我愛故鄉的楊梅
熟透,三下單元一,我愛故鄉的楊梅
演奏,三下單元一,大自然的聲音
季節,三下單元一,大自然的聲音
呢喃細語,三下單元一,大自然的聲音
激動,三下單元一,大自然的聲音
充滿,三下單元一,大自然的聲音
