詞語,第二層級,第三層級
威力,三下單元一,大自然的聲音
熱鬧,三下單元一,大自然的聲音
滙聚,三下單元一,大自然的聲音
洶湧澎湃,三下單元一,大自然的聲音
輕快,三下單元一,大自然的聲音
波瀾壯闊,三下單元一,大自然的聲音
打擊,三下單元一,大自然的聲音
樂曲,三下單元一,大自然的聲音
鑰匙,三下單元一,秋天的雨
留意,三下單元一,秋天的雨
顏料,三下單元一,秋天的雨
炎熱,三下單元一,秋天的雨
郵票,三下單元一,秋天的雨
涼爽,三下單元一,秋天的雨
你擠我碰,三下單元一,秋天的雨
頻頻點頭,三下單元一,秋天的雨
香甜,三下單元一,秋天的雨
糧食,三下單元一,秋天的雨
準備,三下單元一,秋天的雨
豐收,三下單元一,秋天的雨
歡樂,三下單元一,秋天的雨
温柔,三下單元一,秋天的雨
燦爛,三下單元二,參觀青馬大橋
參觀,三下單元二,參觀青馬大橋
大橋,三下單元二,參觀青馬大橋
目的地,三下單元二,參觀青馬大橋
模型,三下單元二,參觀青馬大橋
過程,三下單元二,參觀青馬大橋
觀察,三下單元二,參觀青馬大橋
外形,三下單元二,參觀青馬大橋
橫臥,三下單元二,參觀青馬大橋
鐵路,三下單元二,參觀青馬大橋
夕陽,三下單元二,參觀青馬大橋
氣勢宏偉,三下單元二,參觀青馬大橋
自豪,三下單元二,參觀青馬大橋
名滿天下,三下單元二,參觀青馬大橋
親手,三下單元二,參觀青馬大橋
古色古香,三下單元二,遊迪士尼樂園
商店,三下單元二,遊迪士尼樂園
遙遙相對,三下單元二,遊迪士尼樂園
聞名,三下單元二,遊迪士尼樂園
遊樂設施,三下單元二,遊迪士尼樂園
風土人情,三下單元二,遊迪士尼樂園
悠揚,三下單元二,遊迪士尼樂園
載歌載舞,三下單元二,遊迪士尼樂園
效果,三下單元二,遊迪士尼樂園
意想不到,三下單元二,遊迪士尼樂園
依依不捨,三下單元二,遊迪士尼樂園
世界,三下單元二,遊迪士尼樂園
藝術,三下單元二,遊迪士尼樂園
集中,三下單元二,花之路
爭相開放,三下單元二,花之路
層層疊疊,三下單元二,花之路
香氣撲鼻,三下單元二,花之路
購買,三下單元二,花之路
小心翼翼,三下單元二,花之路
芳香,三下單元二,花之路
四面八方,三下單元二,花之路
感覺,三下單元二,花之路
延伸,三下單元二,花之路
聞名中外,三下單元二,黃山奇石
陡峭,三下單元二,黃山奇石
秀麗,三下單元二,黃山奇石
神奇,三下單元二,黃山奇石
尤其,三下單元二,黃山奇石
一動不動,三下單元二,黃山奇石
翻滾,三下單元二,黃山奇石
金光閃閃,三下單元二,黃山奇石
著名,三下單元二,黃山奇石
奇形怪狀,三下單元二,黃山奇石
啼叫,三下單元二,黃山奇石
風景優美,三下單元二,富饒的西沙羣島
物產豐富,三下單元二,富饒的西沙羣島
五光十色,三下單元二,富饒的西沙羣島
瑰麗無比,三下單元二,富饒的西沙羣島
高低不平,三下單元二,富饒的西沙羣島
綻開,三下單元二,富饒的西沙羣島
懶洋洋,三下單元二,富饒的西沙羣島
威武,三下單元二,富饒的西沙羣島
成群結隊,三下單元二,富饒的西沙羣島
數不清,三下單元二,富饒的西沙羣島
茂密,三下單元二,富饒的西沙羣島
棲息,三下單元二,富饒的西沙羣島
寶貴,三下單元二,富饒的西沙羣島
祖祖輩輩,三下單元二,富饒的西沙羣島
發展,三下單元二,富饒的西沙羣島
肥料,三下單元二,富饒的西沙羣島
堆積,三下單元二,富饒的西沙羣島
建設,三下單元二,富饒的西沙羣島
形影不離,四上單元一,小木船
發生,四上單元一,小木船
功課,四上單元一,小木船
精緻,四上單元一,小木船
故意,四上單元一,小木船
絕不罷休,四上單元一,小木船
體無完膚,四上單元一,小木船
四分五裂,四上單元一,小木船
氣惱,四上單元一,小木船
委屈,四上單元一,小木船
眼淚,四上單元一,小木船
友誼,四上單元一,小木船
破裂,四上單元一,小木船
驚訝,四上單元一,小木船
紀念,四上單元一,小木船
歉意,四上單元一,小木船
哽咽,四上單元一,小木船
珍藏,四上單元一,小木船
抽屜,四上單元一,小木船
離開,四上單元一,掌聲
殘疾,四上單元一,掌聲
輪流,四上單元一,掌聲
角落,四上單元一,掌聲
猶豫,四上單元一,掌聲
慢吞吞,四上單元一,掌聲
注視,四上單元一,掌聲
熱烈,四上單元一,掌聲
持久,四上單元一,掌聲
平息,四上單元一,掌聲
情緒,四上單元一,掌聲
講述,四上單元一,掌聲
普通,四上單元一,掌聲
永遠,四上單元一,掌聲
忘記,四上單元一,掌聲
歧視,四上單元一,掌聲
鼓勵,四上單元一,掌聲
禮物,四上單元一,保羅的自行車
羨慕,四上單元一,保羅的自行車
顯然,四上單元一,保羅的自行車
寬裕,四上單元一,保羅的自行車
驚歎,四上單元一,保羅的自行車
希望,四上單元一,保羅的自行車
不由自主,四上單元一,保羅的自行車
敏捷,四上單元一,保羅的自行車
期待,四上單元一,保羅的自行車
分明,四上單元一,保羅的自行車
麻煩,四上單元一,保羅的自行車
將來,四上單元一,保羅的自行車
濕潤,四上單元一,保羅的自行車
喜悅,四上單元一,保羅的自行車
給予,四上單元一,保羅的自行車
夢想,四上單元一,愛的紙條
退休,四上單元一,愛的紙條
愛戴,四上單元一,愛的紙條
傳統,四上單元一,愛的紙條
抽獎,四上單元一,愛的紙條
探親,四上單元一,愛的紙條
邀請,四上單元一,愛的紙條
出席,四上單元一,愛的紙條
嘉賓,四上單元一,愛的紙條
歡呼聲,四上單元一,愛的紙條
震耳欲聾,四上單元一,愛的紙條
擁抱,四上單元一,愛的紙條
不約而同,四上單元一,愛的紙條
放棄,四上單元一,愛的紙條
機會,四上單元一,愛的紙條
無私,四上單元一,愛的紙條
善良,四上單元一,愛的紙條
體現,四上單元一,愛的紙條
旁邊,四上單元二,火燒雲
乘涼,四上單元二,火燒雲
變化,四上單元二,火燒雲
跪着,四上單元二,火燒雲
模糊,四上單元二,火燒雲
忽然,四上單元二,火燒雲
似乎,四上單元二,火燒雲
鎮靜,四上單元二,火燒雲
恍恍惚惚,四上單元二,火燒雲
其實,四上單元二,火燒雲
必須,四上單元二,火燒雲
沉靜,四上單元二,火燒雲
偏偏,四上單元二,火燒雲
等待,四上單元二,火燒雲
愛好,四上單元二,火燒雲
嫩綠,四上單元二,美麗的小興安嶺
融化,四上單元二,美麗的小興安嶺
散步,四上單元二,美麗的小興安嶺
擋住,四上單元二,美麗的小興安嶺
視線,四上單元二,美麗的小興安嶺
遮住,四上單元二,美麗的小興安嶺
照射,四上單元二,美麗的小興安嶺
宿舍,四上單元二,美麗的小興安嶺
酸甜可口,四上單元二,美麗的小興安嶺
收藏,四上單元二,美麗的小興安嶺
來臨,四上單元二,美麗的小興安嶺
誘人,四上單元二,美麗的小興安嶺
寶庫,四上單元二,美麗的小興安嶺
引人注目,四上單元二,美麗的香山
遍佈,四上單元二,美麗的香山
姿態萬千,四上單元二,美麗的香山
絢麗異常,四上單元二,美麗的香山
五彩斑斕,四上單元二,美麗的香山
沉醉,四上單元二,美麗的香山
空隙,四上單元二,美麗的香山
流淌,四上單元二,美麗的香山
耀眼,四上單元二,美麗的香山
光芒,四上單元二,美麗的香山
悠閒自在,四上單元二,美麗的香山
爭奇鬥豔,四上單元二,美麗的香山
竭力,四上單元二,美麗的香山
散發,四上單元二,美麗的香山
毫不示弱,四上單元二,美麗的香山
回憶,四上單元二,美麗的香山
構成,四上單元二,鄉下人家
時令,四上單元二,鄉下人家
順序,四上單元二,鄉下人家
樸素,四上單元二,鄉下人家
照例,四上單元二,鄉下人家
率領,四上單元二,鄉下人家
覓食,四上單元二,鄉下人家
倘若,四上單元二,鄉下人家
附近,四上單元二,鄉下人家
情景,四上單元二,鄉下人家
和諧,四上單元二,鄉下人家
催眠曲,四上單元二,鄉下人家
辛苦,四上單元二,鄉下人家
夢鄉,四上單元二,鄉下人家
不論,四上單元二,鄉下人家
季節,四上單元二,鄉下人家
迷人,四上單元二,鄉下人家
歷史,四下單元一,奇妙的漢字
創造,四下單元一,奇妙的漢字
線條,四下單元一,奇妙的漢字
粗略,四下單元一,奇妙的漢字
形狀,四下單元一,奇妙的漢字
表示,四下單元一,奇妙的漢字
至於,四下單元一,奇妙的漢字
意義,四下單元一,奇妙的漢字
簡單,四下單元一,奇妙的漢字
符號,四下單元一,奇妙的漢字
組合,四下單元一,奇妙的漢字
根本,四下單元一,奇妙的漢字
顧名思義,四下單元一,奇妙的漢字
領會,四下單元一,奇妙的漢字
合併,四下單元一,奇妙的漢字
產生,四下單元一,奇妙的漢字
不僅,四下單元一,奇妙的漢字
發明,四下單元一,紙的發明
貢獻,四下單元一,紙的發明
記錄,四下單元一,紙的發明
笨重,四下單元一,紙的發明
閱讀,四下單元一,紙的發明
保存,四下單元一,紙的發明
輕便,四下單元一,紙的發明
普及,四下單元一,紙的發明
製作,四下單元一,紙的發明
粗糙,四下單元一,紙的發明
書寫,四下單元一,紙的發明
積累,四下單元一,紙的發明
經驗,四下單元一,紙的發明
價格,四下單元一,紙的發明
滿足,四下單元一,紙的發明
需要,四下單元一,紙的發明
傳承,四下單元一,紙的發明
促進,四下單元一,紙的發明
影響,四下單元一,紙的發明
便宜,四下單元一,紙的發明
瞭解,四下單元一,夜間飛行的祕密
捕捉,四下單元一,夜間飛行的祕密
無論,四下單元一,夜間飛行的祕密
靈巧,四下單元一,夜間飛行的祕密
避開,四下單元一,夜間飛行的祕密
難道,四下單元一,夜間飛行的祕密
敏銳,四下單元一,夜間飛行的祕密
實驗,四下單元一,夜間飛行的祕密
橫七豎八,四下單元一,夜間飛行的祕密
證明,四下單元一,夜間飛行的祕密
配合,四下單元一,夜間飛行的祕密
經過,四下單元一,夜間飛行的祕密
反復,四下單元一,夜間飛行的祕密
研究,四下單元一,夜間飛行的祕密
揭開,四下單元一,夜間飛行的祕密
傳播,四下單元一,夜間飛行的祕密
障礙物,四下單元一,夜間飛行的祕密
原理,四下單元一,夜間飛行的祕密
類似,四下單元一,夜間飛行的祕密
顯示,四下單元一,夜間飛行的祕密
也許,四下單元一,什麼比獵豹的速度更快
速度,四下單元一,什麼比獵豹的速度更快
奔跑,四下單元一,什麼比獵豹的速度更快
冠軍,四下單元一,什麼比獵豹的速度更快
陸地,四下單元一,什麼比獵豹的速度更快
俯衝,四下單元一,什麼比獵豹的速度更快
移動,四下單元一,什麼比獵豹的速度更快
擺脫,四下單元一,什麼比獵豹的速度更快
浩瀚,四下單元一,什麼比獵豹的速度更快
達到,四下單元一,什麼比獵豹的速度更快
即使,四下單元一,什麼比獵豹的速度更快
繼續,四下單元一,什麼比獵豹的速度更快
呼嘯而過,四下單元一,什麼比獵豹的速度更快
靜止,四下單元一,什麼比獵豹的速度更快
物體,四下單元一,什麼比獵豹的速度更快
難以置信,四下單元一,什麼比獵豹的速度更快
任何,四下單元一,什麼比獵豹的速度更快
率領,四下單元二,孫悟空，變變變！
緝拿歸案,四下單元二,孫悟空，變變變！
英勇善戰,四下單元二,孫悟空，變變變！
應付,四下單元二,孫悟空，變變變！
綽綽有餘,四下單元二,孫悟空，變變變！
精疲力盡,四下單元二,孫悟空，變變變！
把戲,四下單元二,孫悟空，變變變！
避開,四下單元二,孫悟空，變變變！
罷休,四下單元二,孫悟空，變變變！
光禿禿,四下單元二,孫悟空，變變變！
孤零零,四下單元二,孫悟空，變變變！
可疑,四下單元二,孫悟空，變變變！
大吃一驚,四下單元二,孫悟空，變變變！
無影無蹤,四下單元二,孫悟空，變變變！
攻打,四下單元二,諸葛亮巧佈空城計
出師不利,四下單元二,諸葛亮巧佈空城計
乘勝追擊,四下單元二,諸葛亮巧佈空城計
吩咐,四下單元二,諸葛亮巧佈空城計
掩護,四下單元二,諸葛亮巧佈空城計
抵禦,四下單元二,諸葛亮巧佈空城計
驚惶失措,四下單元二,諸葛亮巧佈空城計
氣定神閒,四下單元二,諸葛亮巧佈空城計
發號施令,四下單元二,諸葛亮巧佈空城計
妥當,四下單元二,諸葛亮巧佈空城計
悠揚,四下單元二,諸葛亮巧佈空城計
埋伏,四下單元二,諸葛亮巧佈空城計
謹慎,四下單元二,諸葛亮巧佈空城計
判斷,四下單元二,諸葛亮巧佈空城計
懊悔,四下單元二,諸葛亮巧佈空城計
仰天長歎,四下單元二,諸葛亮巧佈空城計
及時,四下單元二,扁鵲治病（白話文）
治療,四下單元二,扁鵲治病（白話文）
以免,四下單元二,扁鵲治病（白話文）
不以為然,四下單元二,扁鵲治病（白話文）
不痛不癢,四下單元二,扁鵲治病（白話文）
惡化,四下單元二,扁鵲治病（白話文）
無奈,四下單元二,扁鵲治病（白話文）
原因,四下單元二,扁鵲治病（白話文）
渾身,四下單元二,扁鵲治病（白話文）
痛苦,四下單元二,扁鵲治病（白話文）
疾病,四下單元二,扁鵲治病（白話文）
缺點,四下單元二,扁鵲治病（白話文）
採取,四下單元二,扁鵲治病（白話文）
措施,四下單元二,扁鵲治病（白話文）
否則,四下單元二,扁鵲治病（白話文）
情況,四下單元二,扁鵲治病（白話文）
病入膏肓,四下單元二,扁鵲治病（白話文）
無藥可救,四下單元二,扁鵲治病（白話文）
技術,四下單元二,紀昌學射
巧妙,四下單元二,紀昌學射
超過,四下單元二,紀昌學射
織布,四下單元二,紀昌學射
緊盯,四下單元二,紀昌學射
報告,四下單元二,紀昌學射
稱讚,四下單元二,紀昌學射
明顯,四下單元二,紀昌學射
目不轉睛,四下單元二,紀昌學射
裝飾,四下單元二,紀昌學射
舉辦,五上單元一,溜冰場上
笨拙,五上單元一,溜冰場上
四腳朝天,五上單元一,溜冰場上
戰戰兢兢,五上單元一,溜冰場上
跌倒,五上單元一,溜冰場上
膽怯,五上單元一,溜冰場上
頻繁,五上單元一,溜冰場上
失誤,五上單元一,溜冰場上
氣喘吁吁,五上單元一,溜冰場上
東歪西倒,五上單元一,溜冰場上
不禁,五上單元一,溜冰場上
張皇失措,五上單元一,溜冰場上
無動於衷,五上單元一,溜冰場上
無可奈何,五上單元一,溜冰場上
克服,五上單元一,溜冰場上
恍然大悟,五上單元一,溜冰場上
否則,五上單元一,溜冰場上
啟示,五上單元一,溜冰場上
獲益良多,五上單元一,溜冰場上
毛病,五上單元一,爸爸的花兒落了（節選）
懶惰,五上單元一,爸爸的花兒落了（節選）
害羞,五上單元一,爸爸的花兒落了（節選）
恐懼,五上單元一,爸爸的花兒落了（節選）
勇氣,五上單元一,爸爸的花兒落了（節選）
催促,五上單元一,爸爸的花兒落了（節選）
哀求,五上單元一,爸爸的花兒落了（節選）
命令,五上單元一,爸爸的花兒落了（節選）
躲避,五上單元一,爸爸的花兒落了（節選）
傷痕,五上單元一,爸爸的花兒落了（節選）
遮蓋,五上單元一,爸爸的花兒落了（節選）
原諒,五上單元一,爸爸的花兒落了（節選）
緣故,五上單元一,爸爸的花兒落了（節選）
禮貌,五上單元一,爸爸的花兒落了（節選）
示意,五上單元一,爸爸的花兒落了（節選）
徵求,五上單元一,爸爸的花兒落了（節選）
同意,五上單元一,爸爸的花兒落了（節選）
微笑,五上單元一,爸爸的花兒落了（節選）
答應,五上單元一,爸爸的花兒落了（節選）
維持,五上單元一,中彩那天
拮据,五上單元一,中彩那天
誠實,五上單元一,中彩那天
精湛,五上單元一,中彩那天
器重,五上單元一,中彩那天
夢寐以求,五上單元一,中彩那天
嶄新,五上單元一,中彩那天
饋贈,五上單元一,中彩那天
嚴肅,五上單元一,中彩那天
悶悶不樂,五上單元一,中彩那天
道德,五上單元一,中彩那天
迷惑不解,五上單元一,中彩那天
號碼,五上單元一,中彩那天
辨別,五上單元一,中彩那天
痕跡,五上單元一,中彩那天
教誨,五上單元一,中彩那天
附近,五上單元一,釣魚的啟示
劇烈,五上單元一,釣魚的啟示
抖動,五上單元一,釣魚的啟示
操縱,五上單元一,釣魚的啟示
掙扎,五上單元一,釣魚的啟示
筋疲力盡,五上單元一,釣魚的啟示
距離,五上單元一,釣魚的啟示
急切,五上單元一,釣魚的啟示
爭辯,五上單元一,釣魚的啟示
乞求,五上單元一,釣魚的啟示
沮喪,五上單元一,釣魚的啟示
誘惑,五上單元一,釣魚的啟示
抉擇,五上單元一,釣魚的啟示
告誡,五上單元一,釣魚的啟示
實踐,五上單元一,釣魚的啟示
嚴格,五上單元一,釣魚的啟示
終生,五上單元一,釣魚的啟示
蹤影,五上單元二,霧鎖香江
白茫茫,五上單元二,霧鎖香江
雲霧,五上單元二,霧鎖香江
專注,五上單元二,霧鎖香江
也許,五上單元二,霧鎖香江
籠罩,五上單元二,霧鎖香江
隱隱約約,五上單元二,霧鎖香江
輪廓,五上單元二,霧鎖香江
遮蓋,五上單元二,霧鎖香江
臉龐,五上單元二,霧鎖香江
熟悉,五上單元二,霧鎖香江
若隱若現,五上單元二,霧鎖香江
儀態萬千,五上單元二,霧鎖香江
怦然心動,五上單元二,霧鎖香江
由衷,五上單元二,霧鎖香江
和煦,五上單元二,霧鎖香江
沐浴,五上單元二,霧鎖香江
心曠神怡,五上單元二,霧鎖香江
聞名於世,五上單元二,觀潮
天下奇觀,五上單元二,觀潮
據說,五上單元二,觀潮
寬闊,五上單元二,觀潮
屹立,五上單元二,觀潮
昂首,五上單元二,觀潮
人聲鼎沸,五上單元二,觀潮
風平浪靜,五上單元二,觀潮
逐漸,五上單元二,觀潮
橫貫,五上單元二,觀潮
浩浩蕩蕩,五上單元二,觀潮
山崩地裂,五上單元二,觀潮
顫動,五上單元二,觀潮
依舊,五上單元二,觀潮
風號浪吼,五上單元二,觀潮
歎為觀止,五上單元二,觀潮
遊覽,五上單元二,西湖風光
記載,五上單元二,西湖風光
修築,五上單元二,西湖風光
映襯,五上單元二,西湖風光
疏疏落落,五上單元二,西湖風光
眉飛色舞,五上單元二,西湖風光
亭亭玉立,五上單元二,西湖風光
巍然聳立,五上單元二,西湖風光
徒有虛名,五上單元二,西湖風光
政府,五上單元二,西湖風光
彌補,五上單元二,西湖風光
行程,五上單元二,西湖風光
遺憾,五上單元二,西湖風光
環繞,五上單元二,西湖風光
清幽淡雅,五上單元二,西湖風光
百看不厭,五上單元二,西湖風光
景致,五上單元二,西湖風光
美不勝收,五上單元二,西湖風光
流連忘返,五上單元二,西湖風光
背誦,五上單元二,西湖風光
波瀾壯闊,五上單元二,桂林山水
無瑕,五上單元二,桂林山水
攀登,五上單元二,桂林山水
峯巒雄偉,五上單元二,桂林山水
拔地而起,五上單元二,桂林山水
奇峯羅列,五上單元二,桂林山水
屏障,五上單元二,桂林山水
栽倒,五上單元二,桂林山水
圍繞,五上單元二,桂林山水
倒映,五上單元二,桂林山水
連綿不斷,五上單元二,桂林山水
擴散,五上單元二,桂林山水
畫卷,五上單元二,桂林山水
骨碌碌,五下單元一,會捕食的植物
搜索,五下單元一,會捕食的植物
介紹,五下單元一,會捕食的植物
濃密,五下單元一,會捕食的植物
狹長,五下單元一,會捕食的植物
色澤,五下單元一,會捕食的植物
獵物,五下單元一,會捕食的植物
誘捕,五下單元一,會捕食的植物
賞心悅目,五下單元一,會捕食的植物
守株待兔,五下單元一,會捕食的植物
通常,五下單元一,會捕食的植物
強烈,五下單元一,會捕食的植物
濃郁,五下單元一,會捕食的植物
自投羅網,五下單元一,會捕食的植物
養分,五下單元一,會捕食的植物
寬敞,五下單元一,鯨
哺乳,五下單元一,鯨
祖先,五下單元一,鯨
屬於,五下單元一,鯨
環境,五下單元一,鯨
退化,五下單元一,鯨
適應,五下單元一,鯨
鋒利,五下單元一,鯨
潛入,五下單元一,鯨
傾斜,五下單元一,鯨
特徵,五下單元一,鯨
噴泉,五下單元一,鯨
特徵,五下單元一,鯨
甚至,五下單元一,鯨
垂直,五下單元一,鯨
兇猛,五下單元一,鯨
壽命,五下單元一,鯨
傳說,五下單元一,太陽
寸草不生,五下單元一,太陽
實際,五下單元一,太陽
體積,五下單元一,太陽
關係,五下單元一,太陽
密切,五下單元一,太陽
糧食,五下單元一,太陽
繁殖,五下單元一,太陽
生存,五下單元一,太陽
下降,五下單元一,太陽
流動,五下單元一,太陽
殺菌,五下單元一,太陽
預防,五下單元一,太陽
治療,五下單元一,太陽
疾病,五下單元一,太陽
鋼鐵,五下單元一,太陽
形成,五下單元一,火星——地球的「孿生兄弟」
推測,五下單元一,火星——地球的「孿生兄弟」
存在,五下單元一,火星——地球的「孿生兄弟」
分析,五下單元一,火星——地球的「孿生兄弟」
曾經,五下單元一,火星——地球的「孿生兄弟」
荒涼,五下單元一,火星——地球的「孿生兄弟」
突如其來,五下單元一,火星——地球的「孿生兄弟」
襲擊,五下單元一,火星——地球的「孿生兄弟」
遊盪,五下單元一,火星——地球的「孿生兄弟」
碰撞,五下單元一,火星——地球的「孿生兄弟」
家常便飯,五下單元一,火星——地球的「孿生兄弟」
豐富,五下單元一,火星——地球的「孿生兄弟」
持續,五下單元一,火星——地球的「孿生兄弟」
來源,五下單元一,火星——地球的「孿生兄弟」
誕生,五下單元一,火星——地球的「孿生兄弟」
潛藏,五下單元一,火星——地球的「孿生兄弟」
爆發,五下單元一,火星——地球的「孿生兄弟」
釋放,五下單元一,火星——地球的「孿生兄弟」
衝刷,五下單元一,火星——地球的「孿生兄弟」
痕跡,五下單元一,火星——地球的「孿生兄弟」
咆哮,五下單元一,火星——地球的「孿生兄弟」
孕育,五下單元一,火星——地球的「孿生兄弟」
缺陷,五下單元一,火星——地球的「孿生兄弟」
導致,五下單元一,火星——地球的「孿生兄弟」
足夠,五下單元一,火星——地球的「孿生兄弟」
渺茫,五下單元一,火星——地球的「孿生兄弟」
模樣,五下單元一,火星——地球的「孿生兄弟」
進攻,五下單元二,將相和
無價之寶,五下單元二,將相和
召集,五下單元二,將相和
商議,五下單元二,將相和
機智,五下單元二,將相和
理虧,五下單元二,將相和
完好無缺,五下單元二,將相和
絕口不提,五下單元二,將相和
怒髮衝冠,五下單元二,將相和
承諾,五下單元二,將相和
得罪,五下單元二,將相和
推辭,五下單元二,將相和
擅長,五下單元二,將相和
同歸於盡,五下單元二,將相和
怒目圓睜,五下單元二,將相和
毫不示弱,五下單元二,將相和
削弱,五下單元二,將相和
利益,五下單元二,將相和
同心協力,五下單元二,將相和
保衞,五下單元二,將相和
威迫,五下單元二,廉頗和藺相如
羞辱,五下單元二,廉頗和藺相如
屢立戰功,五下單元二,廉頗和藺相如
傲慢,五下單元二,廉頗和藺相如
忍無可忍,五下單元二,廉頗和藺相如
得罪,五下單元二,廉頗和藺相如
不屑,五下單元二,廉頗和藺相如
阻止,五下單元二,廉頗和藺相如
謙讓,五下單元二,廉頗和藺相如
揚長而去,五下單元二,廉頗和藺相如
侵犯,五下單元二,廉頗和藺相如
戰績顯赫,五下單元二,廉頗和藺相如
忠心耿耿,五下單元二,廉頗和藺相如
崇拜,五下單元二,廉頗和藺相如
計較,五下單元二,廉頗和藺相如
囉嗦,五下單元二,廉頗和藺相如
慚愧,五下單元二,廉頗和藺相如
吩咐,五下單元二,廉頗和藺相如
繁榮昌盛,五下單元二,廉頗和藺相如
才能,五下單元二,田忌賽馬
將軍,五下單元二,田忌賽馬
勝利,五下單元二,田忌賽馬
當然,五下單元二,田忌賽馬
為難,五下單元二,田忌賽馬
胸有成竹,五下單元二,田忌賽馬
疑惑,五下單元二,田忌賽馬
規則,五下單元二,田忌賽馬
淡定,五下單元二,田忌賽馬
遙遙領先,五下單元二,田忌賽馬
信服,五下單元二,田忌賽馬
調整,五下單元二,田忌賽馬
順序,五下單元二,田忌賽馬
反敗為勝,五下單元二,田忌賽馬
訪問,五下單元二,晏子使楚
國勢強盛,五下單元二,晏子使楚
侮辱,五下單元二,晏子使楚
威風,五下單元二,晏子使楚
到底,五下單元二,晏子使楚
迎接,五下單元二,晏子使楚
打發,五下單元二,晏子使楚
規矩,五下單元二,晏子使楚
招待,五下單元二,晏子使楚
盜竊,五下單元二,晏子使楚
沒出息,五下單元二,晏子使楚
得意揚揚,五下單元二,晏子使楚
面不改色,五下單元二,晏子使楚
安居樂業,五下單元二,晏子使楚
勞動,五下單元二,晏子使楚
取笑,五下單元二,晏子使楚
尊重,五下單元二,晏子使楚
